1,ID,Motorway,SR,NR,TR,VR,SUR1,SUR2,SUR3,UR,FR,OR,RR,BR,MR,CR,Green frogs,Brown frogs,Common toad,Fire-bellied toad,Tree frog,Common newt,Great crested newt
2,1,A1,600,1,1,4,6,2,10,0,0,50,0,0,0,1,0,0,0,0,0,0,0
3,2,A1,700,1,5,1,10,6,10,3,1,75,1,1,0,1,0,1,1,0,0,1,0
4,3,A1,200,1,5,1,10,6,10,3,4,75,1,1,0,1,0,1,1,0,0,1,0
5,4,A1,300,1,5,?,6,10,2,3,4,25,0,0,0,1,0,0,1,0,0,0,0
6,5,A1,600,?,1,4,10,2,6,0,0,99,0,5,0,1,0,1,1,1,0,1,1
7,6,A1,200,1,5,1,6,6,10,1,0,,0,0,0,1,0,0,0,0,0,0,0
8,7,A1,500,1,5,0,6,6,10,1,2,25,0,0,0,2,0,0,1,0,0,0,0
9,8,A1,700,1,5,2,10,6,9,0,0,100,1,1,0,1,1,1,0,1,0,0,0
10,9,A1,750,2,5,1,6,1,2,0,1,50,1,0,0,1,0,1,1,0,0,0,0
11,10,A1,200,1,12,4,2,7,6,0,0,75,1,0,0,1,0,1,1,0,0,0,0
12,11,A1,200,1,1,4,2,7,1,0,0,100,2,1,0,1,1,0,0,0,0,0,0
13,12,A1,300,1,14,2,1,2,7,0,0,100,2,1,0,1,0,1,1,0,0,0,0
14,13,A1,7000,1,1,1,2,6,10,3,3,50,1,5,0,1,1,0,1,0,0,0,0
15,14,A1,1700,1,1,1,2,6,10,0,1,100,2,2,2,1,1,1,1,0,0,0,0
16,15,A1,8000,1,1,3,2,10,7,0,0,100,9,9,0,1,0,1,1,0,0,0,0
17,16,A1,30000,1,1,3,1,1,1,0,0,100,2,10,0,1,1,1,1,1,1,0,0
18,17,A1,300,1,12,?,1,1,1,0,0,100,5,10,0,1,0,1,1,0,1,0,0
19,18,A1,300,1,15,1,1,1,9,0,0,75,0,5,0,1,0,1,1,0,0,0,0
20,19,A1,1600,3,1,0,2,6,2,3,1,75,2,1,0,1,1,1,1,1,0,0,0
21,20,A1,3800,6,1,2,6,6,2,3,1,25,0,0,0,1,1,0,1,0,1,0,0
22,21,A1,7000,?,1,1,6,10,2,3,4,,0,0,0,1,1,0,1,0,0,0,0
23,22,A1,2500,1,1,3,10,2,6,0,1,100,0,1,0,1,1,0,1,0,0,1,0
24,23,A1,800,1,1,0,1,2,7,3,4,100,2,1,0,1,0,1,1,0,0,0,0
25,24,A1,1700,1,1,3,10,6,2,0,0,100,0,0,0,1,0,1,1,0,0,0,0
26,25,A1,300,1,1,2,7,2,10,0,0,100,5,5,2,1,1,0,0,0,0,1,0
27,26,A1,4500,1,1,1,2,2,9,3,2,100,9,9,0,1,1,1,1,0,1,0,0
28,27,A1,1000,1,12,4,2,2,1,0,0,100,5,9,0,1,0,1,0,0,0,0,0
29,28,A1,7000,1,1,4,2,2,1,0,0,100,5,?,0,1,0,0,0,1,1,0,1
30,29,A1,30000,1,1,3,2,2,1,1,0,100,5,5,0,1,1,1,1,0,0,1,1
31,30,A1,7000,1,1,3,2,2,7,0,0,100,0,1,0,1,0,1,1,0,1,0,0
32,31,A1,3300,1,1,3,2,1,7,0,0,100,5,5,0,1,0,1,0,0,1,0,0
33,32,A1,2100,1,1,3,2,9,2,0,0,50,0,1,0,1,0,0,0,0,1,0,0
34,33,A1,500,1,1,0,2,10,6,3,4,100,2,1,0,1,1,1,0,0,0,0,0
35,34,A1,400,2,1,2,2,10,10,0,0,100,1,5,0,1,0,1,0,0,0,0,0
36,35,A1,300,1,1,1,2,10,10,0,0,100,2,2,0,1,0,1,1,0,0,0,0
37,36,A1,1100,1,1,0,2,6,10,3,4,100,2,2,0,1,0,1,1,0,0,0,0
38,37,A1,1000,1,1,2,2,10,6,0,0,100,1,1,0,1,0,0,0,1,0,0,0
39,38,A1,400,1,5,1,6,2,10,1,0,75,2,0,0,1,0,0,1,0,1,0,1
40,39,A1,100,1,1,2,2,6,10,0,0,100,1,1,0,1,0,1,0,0,0,0,0
41,40,A1,100,1,5,1,7,2,6,3,0,100,2,1,0,1,1,0,0,0,0,0,0
42,41,A1,80000,1,12,4,2,2,7,0,0,100,5,5,0,1,1,0,0,1,1,0,0
43,42,A1,200,1,12,4,2,2,7,0,0,100,5,5,0,1,0,0,1,1,1,0,0
44,43,A1,100,1,11,4,2,6,7,0,0,100,5,5,0,1,0,0,1,0,1,0,0
45,44,A1,2500,1,1,3,7,2,9,0,0,75,0,2,0,1,0,1,0,0,0,0,0
46,45,A1,31000,?,1,0,2,7,6,3,4,100,5,?,0,1,1,1,1,0,0,0,0
47,46,A1,500,1,?,4,2,7,2,0,0,100,5,5,0,1,1,1,1,1,1,0,0
